"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 15:15:04 MSK 2023","Wed Jun 21 15:15:05 MSK 2023","584","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"passed","Wed Jun 21 15:14:55 MSK 2023","Wed Jun 21 15:14:57 MSK 2023","1796","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"passed","Wed Jun 21 15:15:05 MSK 2023","Wed Jun 21 15:15:06 MSK 2023","519","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Wed Jun 21 15:15:00 MSK 2023","Wed Jun 21 15:15:02 MSK 2023","1867","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Wed Jun 21 15:15:00 MSK 2023","Wed Jun 21 15:15:00 MSK 2023","712","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Wed Jun 21 15:15:05 MSK 2023","Wed Jun 21 15:15:05 MSK 2023","317","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Wed Jun 21 15:14:58 MSK 2023","Wed Jun 21 15:14:59 MSK 2023","1423","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Wed Jun 21 15:14:59 MSK 2023","Wed Jun 21 15:15:00 MSK 2023","408","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
"passed","Wed Jun 21 15:15:03 MSK 2023","Wed Jun 21 15:15:04 MSK 2023","940","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Wed Jun 21 15:14:57 MSK 2023","Wed Jun 21 15:14:58 MSK 2023","807","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Wed Jun 21 15:15:02 MSK 2023","Wed Jun 21 15:15:03 MSK 2023","995","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
